,right,strike,expiry,bid_price,ask_price,delta,gamma,theta,vega,rho,ImV,t,k
10001351,1,2.8,2018-07-25,0.4042,0.4042,-0.92154628983887,0.586933009600918,-0.211642302234909,0.0882149847823072,-0.16478019388072,0.414436846799912,0.06027397260273973,0.1527592141455185
10001352,1,2.85,2018-07-25,0.4537,0.4537,-0.92901876349777,0.506150701572441,-0.20825925389518,0.081727346534949,-0.169028954537241,0.445237861484351,0.06027397260273973,0.17045879124491953
10001355,0,2.4,2018-07-25,0.0626,0.0626,0.521919284848939,2.61061906236488,-0.517964579053933,0.239884185371899,0.0749538092553885,0.25337434863256,0.06027397260273973,-0.001391465681739761
10001356,1,2.4,2018-07-25,0.0657,0.0657,-0.477606387329119,2.35360063764088,-0.498530981711847,0.239868313070905,-0.0763396921596717,0.281024795419343,0.06027397260273973,-0.001391465681739761
10001357,0,2.4,2018-09-26,0.1142,0.1142,0.545942381179352,1.48496674894455,-0.260296360783487,0.461477478064166,0.28168316918796,0.229175242055409,0.2328767123287671,-0.006569547873520618
10001358,1,2.4,2018-09-26,0.1149,0.1149,-0.453812451639232,1.28336440964991,-0.223541428852646,0.461444439241033,-0.283587031988005,0.265157150237074,0.2328767123287671,-0.006569547873520618
10001359,0,2.4,2018-12-26,0.1715,0.1715,0.566794026544817,1.01012722308425,-0.193569777928005,0.657106632137706,0.576214395016696,0.233087442722889,0.4821917808219178,-0.014048999928315023
10001360,1,2.4,2018-12-26,0.1573,0.1573,-0.433010376363354,0.896161050931378,-0.142093260931602,0.657051583544615,-0.580023223982486,0.262707519524024,0.4821917808219178,-0.014048999928315023
10001361,0,2.9,2018-07-25,0.001,0.001,0.0144045557388268,0.180914285056003,-0.0596739529173051,0.0220249324963927,0.00211449445696282,0.335696070995596,0.06027397260273973,0.1878505339567886
10001362,1,2.9,2018-07-25,0.5,0.5,-0.955730875512964,0.36478878989271,-0.106557413102282,0.0563336051273238,-0.175984549599182,0.425824449789827,0.06027397260273973,0.1878505339567886
10001365,0,2.35,2018-07-25,0.09,0.09,0.651599770800036,2.45092955821443,-0.486874560412191,0.222684568338499,0.0928307289450031,0.2505323575879,0.06027397260273973,-0.02244487487957211
10001366,1,2.35,2018-07-25,0.0441,0.0441,-0.362594559425726,2.19207262030611,-0.48171540391615,0.22585195460961,-0.0575921487982272,0.284101448732371,0.06027397260273973,-0.02244487487957211
10001367,0,2.35,2018-09-26,0.139,0.139,0.621155396513037,1.45357909743811,-0.251790348601933,0.442970168836888,0.318353589807806,0.224734489848406,0.2328767123287671,-0.027622957071352875
10001368,1,2.35,2018-09-26,0.0911,0.0911,-0.389717826223681,1.24600473766057,-0.219831936636596,0.446696067558575,-0.241747664364451,0.264378633109159,0.2328767123287671,-0.027622957071352875
10001369,0,2.35,2018-12-26,0.193,0.193,0.618774173267895,1.00952226277319,-0.187102708555919,0.636709486899619,0.626259616893424,0.225987554352712,0.4821917808219178,-0.03510240912614736
10001370,1,2.35,2018-12-26,0.1344,0.1344,-0.388485020960751,0.868665499645264,-0.142353423336786,0.640259802467628,-0.517118322038253,0.264096572732405,0.4821917808219178,-0.03510240912614736
10001373,0,2.3,2018-07-25,0.1253,0.1253,0.763958302948714,2.00355005213467,-0.42704599350973,0.185511991797382,0.107591692776234,0.255314996335203,0.06027397260273973,-0.04395108010053582
10001374,1,2.3,2018-07-25,0.0285,0.0285,-0.260418427037132,1.86142611544435,-0.429641853960462,0.195497821794904,-0.0411632953833437,0.289601397150668,0.06027397260273973,-0.04395108010053582
10001375,0,2.3,2018-09-26,0.17,0.17,0.69288711505141,1.33710577583109,-0.240687124315756,0.409141131545637,0.351595389801622,0.22565309491631,0.2328767123287671,-0.049129162292316605
10001376,1,2.3,2018-09-26,0.0715,0.0715,-0.327840365862049,1.16676353366849,-0.211539076469238,0.420602093106546,-0.202154199373932,0.265841329219871,0.2328767123287671,-0.049129162292316605
10001377,0,2.3,2018-12-26,0.2217,0.2217,0.669709713081287,0.960234310872758,-0.182474394222495,0.605215964007747,0.671598361260626,0.225835523773584,0.4821917808219178,-0.05660861434711104
10001378,1,2.3,2018-12-26,0.1124,0.1124,-0.344282879810247,0.836722598472167,-0.138867519774934,0.615031642496887,-0.455027994992693,0.263375312326557,0.4821917808219178,-0.05660861434711104
10001379,0,2.25,2018-07-25,0.1623,0.1623,0.874580055397109,1.45773202667803,-0.289818329437815,0.124257648505256,0.121983021927125,0.23504443205768,0.06027397260273973,-0.06592998681931095
10001380,1,2.25,2018-07-25,0.0172,0.0172,-0.174989449609745,1.46144906667692,-0.347635317644671,0.155228827744975,-0.0275368708329381,0.292882367205499,0.06027397260273973,-0.06592998681931095
10001381,0,2.25,2018-09-26,0.2024,0.2024,0.76372940298916,1.19978082202355,-0.216918973353335,0.358912983708251,0.384004868134632,0.2206079560584,0.2328767123287671,-0.07110806901109176
10001382,1,2.25,2018-09-26,0.0544,0.0544,-0.268862308302629,1.0659326948824,-0.195749262012691,0.384216839082566,-0.164789279345821,0.265815639046882,0.2328767123287671,-0.07110806901109176
10001383,0,2.25,2018-12-26,0.2526,0.2526,0.719225596081481,0.896977999731866,-0.174789075268039,0.563112876114153,0.714217936180617,0.224943148173621,0.4821917808219178,-0.07858752106588617
10001384,1,2.25,2018-12-26,0.0927,0.0927,-0.300964769446537,0.793688351288841,-0.133062380033219,0.581695529028298,-0.395075290717359,0.262606107025004,0.4821917808219178,-0.07858752106588617
10001385,0,2.25,2018-08-22,0.1836,0.1836,0.795247010195595,1.35309980441241,-0.264913031141475,0.254605581640585,0.240915358338594,0.233991607764964,0.136986301369863,-0.06823135668232463
10001386,0,2.3,2018-08-22,0.1488,0.1488,0.713459231637813,1.58882526759434,-0.307814246677426,0.305227086815529,0.218362532552291,0.238896136436167,0.136986301369863,-0.04625244996354948
10001387,0,2.35,2018-08-22,0.118,0.118,0.625505343255904,1.74867536623157,-0.335472376865438,0.339896692652861,0.19318348225658,0.241712961268386,0.136986301369863,-0.024746244742585854
10001388,0,2.4,2018-08-22,0.0914,0.0914,0.534656121217615,1.82247294371422,-0.345883143679922,0.356398735314258,0.16644723751703,0.243185265213407,0.136986301369863,-0.003692835544753592
10001389,0,2.45,2018-08-22,0.0686,0.0686,0.444135005038612,1.81647708293928,-0.337311387435885,0.354236101288699,0.139291099327471,0.242507452098702,0.136986301369863,0.016926451657982233
10001390,0,2.5,2018-08-22,0.0511,0.0511,0.359685048893288,1.70445485101742,-0.31802468953849,0.33538675124987,0.113427744020448,0.244693590369502,0.136986301369863,0.03712915897550171
10001391,0,2.55,2018-08-22,0.0361,0.0361,0.28040575102261,1.54860343673729,-0.281308449934282,0.30207711035556,0.0889487255504452,0.242571510121773,0.136986301369863,0.056931786271681245
10001392,0,2.6,2018-08-22,0.0254,0.0254,0.213760409317407,1.3351920966789,-0.241901322874177,0.261140455333987,0.0681036372970139,0.243216254699601,0.136986301369863,0.07634987212878286
10001393,0,2.65,2018-08-22,0.0172,0.0172,0.15716751456396,1.10582495254443,-0.197931834040317,0.21564777487336,0.0502797189135946,0.242505050783435,0.136986301369863,0.09539806709947737
10001394,1,2.25,2018-08-22,0.0352,0.0352,-0.234693461249878,1.26048109751063,-0.249759484365943,0.275372144322034,-0.0835878195911953,0.271672614055206,0.136986301369863,-0.06823135668232463
10001395,1,2.3,2018-08-22,0.05,0.05,-0.305486016733632,1.44463982111377,-0.280864931078697,0.314332683172666,-0.109386026732437,0.270577793104925,0.136986301369863,-0.04625244996354948
10001396,1,2.35,2018-08-22,0.0684,0.0684,-0.383093513891688,1.58365261543542,-0.299569102890118,0.342276733704539,-0.137971239868674,0.268769293057255,0.136986301369863,-0.024746244742585854
10001397,1,2.4,2018-08-22,0.0911,0.0911,-0.465034229995047,1.65542401194646,-0.305194790903408,0.356374475007195,-0.168609789807929,0.267706880008988,0.136986301369863,-0.003692835544753592
10001398,1,2.45,2018-08-22,0.1189,0.1189,-0.546528257874351,1.63994515124736,-0.299669325437458,0.355313565145759,-0.199810666259826,0.269429197527833,0.136986301369863,0.016926451657982233
10001399,1,2.5,2018-08-22,0.1511,0.1511,-0.62269077151815,1.55393569674084,-0.283046174555161,0.340694924060828,-0.22983915956228,0.272643289039202,0.136986301369863,0.03712915897550171
10001400,1,2.55,2018-08-22,0.1858,0.1858,-0.693646346315871,1.43396357380716,-0.251891529221585,0.314727503612183,-0.258474242492508,0.272934710153915,0.136986301369863,0.056931786271681245
10001401,1,2.6,2018-08-22,0.2244,0.2244,-0.754343500147281,1.27287113008379,-0.217606067287051,0.28231066602087,-0.284212531302037,0.275806846460017,0.136986301369863,0.07634987212878286
10001402,1,2.65,2018-08-22,0.2678,0.2678,-0.797283567881431,1.09328259999115,-0.195310079795258,0.253092776083031,-0.304670194693746,0.28787868199995,0.136986301369863,0.09539806709947737
10001403,0,2.7,2018-08-22,0.0115,0.0115,0.1129470002607,0.880260038134436,-0.157061984794677,0.171840708152866,0.0362538580192729,0.242760073257566,0.136986301369863,0.11409020011162994
10001404,1,2.7,2018-08-22,0.3113,0.3113,-0.837174725029438,0.933865823539534,-0.162495577229095,0.22069341308685,-0.324120280267523,0.293878004153301,0.136986301369863,0.11409020011162994
